Paired t-test SEPext x EffEL
EL,delta,df,t,p,CI%,CIl,CIu
1,1.18,24,13.77943,6.78797e-13,95,1.003258,1.356742
3,1.304,24,15.91191,2.982866e-14,95,1.134861,1.473139
10,1.384,24,15.26264,7.435083e-14,95,1.196848,1.571152
30,1.44,24,13.77166,6.870479e-13,95,1.224193,1.655807
100,1.516,24,11.09916,6.176091e-11,95,1.234098,1.797902

Paired t-test SEPorig x EffEL
EL,delta,df,t,p,CI%,CIl,CIu
1,-0.256,24,-1.416348,0.1695229,95,-0.6290426,0.1170426
3,-0.212,24,-1.404703,0.1729207,95,-0.5234869,0.0994869
10,-0.208,24,-1.634337,0.1152389,95,-0.4706698,0.05466978
30,-0.24,24,-2.12132,0.04441742,95,-0.4735035,-0.006496533
100,-0.248,24,-2.90847,0.007705176,95,-0.4239849,-0.07201508
